system,file,time
katch,nkpl/benchmarks/small/Airtel_reachability.nkpl,0.374548119
katch,nkpl/benchmarks/small/Airtel_slicing.nkpl,0.113078432
katch,nkpl/benchmarks/small/Airtel_unreachability.nkpl,0.04778884
katch,nkpl/benchmarks/small/Arpa_reachability.nkpl,0.061472281
katch,nkpl/benchmarks/small/Arpa_slicing.nkpl,0.114765735
katch,nkpl/benchmarks/small/Arpa_unreachability.nkpl,0.052104503
katch,nkpl/benchmarks/small/Belnet_reachability.nkpl,0.036717575
katch,nkpl/benchmarks/small/Belnet_slicing.nkpl,0.064308657
katch,nkpl/benchmarks/small/Belnet_unreachability.nkpl,0.027932138
katch,nkpl/benchmarks/small/Compuserv_reachability.nkpl,0.013786412
katch,nkpl/benchmarks/small/Compuserv_slicing.nkpl,0.023958239
katch,nkpl/benchmarks/small/Compuserv_unreachability.nkpl,0.011845845
katch,nkpl/benchmarks/small/Layer42_reachability.nkpl,0.005142432
katch,nkpl/benchmarks/small/Layer42_slicing.nkpl,0.008659908
katch,nkpl/benchmarks/small/Layer42_unreachability.nkpl,0.006128663
katch,nkpl/benchmarks/small/Sanet_reachability.nkpl,0.049351767
katch,nkpl/benchmarks/small/Sanet_unreachability.nkpl,0.050391254
katch,nkpl/benchmarks/small/Shentel_reachability.nkpl,0.02353912
katch,nkpl/benchmarks/small/Shentel_slicing.nkpl,0.053339914
katch,nkpl/benchmarks/small/Shentel_unreachability.nkpl,0.024967545
katch,nkpl/benchmarks/small/Uunet_reachability.nkpl,0.056408039
katch,nkpl/benchmarks/small/Uunet_unreachability.nkpl,0.056052378
katch,nkpl/benchmarks/small/ft2_h_reachability.nkpl,0.005630575
katch,nkpl/benchmarks/small/ft2_reachability.nkpl,0.006518268
katch,nkpl/benchmarks/small/ft4_h_reachability.nkpl,0.022860869
katch,nkpl/benchmarks/small/ft4_reachability.nkpl,0.029520784
katch,nkpl/benchmarks/small/ft4_slicing.nkpl,0.034890842
katch,nkpl/benchmarks/small/Airtel_reachability.nkpl,0.010498336
katch,nkpl/benchmarks/small/Airtel_slicing.nkpl,0.025316309
katch,nkpl/benchmarks/small/Airtel_unreachability.nkpl,0.012284981
katch,nkpl/benchmarks/small/Arpa_reachability.nkpl,0.015592355
katch,nkpl/benchmarks/small/Arpa_slicing.nkpl,0.046337079
katch,nkpl/benchmarks/small/Arpa_unreachability.nkpl,0.016265744
katch,nkpl/benchmarks/small/Belnet_reachability.nkpl,0.012061259
katch,nkpl/benchmarks/small/Belnet_slicing.nkpl,0.030242573
katch,nkpl/benchmarks/small/Belnet_unreachability.nkpl,0.013697218
katch,nkpl/benchmarks/small/Compuserv_reachability.nkpl,0.006027054
katch,nkpl/benchmarks/small/Compuserv_slicing.nkpl,0.012997757
katch,nkpl/benchmarks/small/Compuserv_unreachability.nkpl,0.006933512
katch,nkpl/benchmarks/small/Layer42_reachability.nkpl,0.003789031
katch,nkpl/benchmarks/small/Layer42_slicing.nkpl,0.00504948
katch,nkpl/benchmarks/small/Layer42_unreachability.nkpl,0.00318758
katch,nkpl/benchmarks/small/Sanet_reachability.nkpl,0.079205649
katch,nkpl/benchmarks/small/Sanet_unreachability.nkpl,0.030722217
katch,nkpl/benchmarks/small/Shentel_reachability.nkpl,0.016227103
katch,nkpl/benchmarks/small/Shentel_slicing.nkpl,0.036052511
katch,nkpl/benchmarks/small/Shentel_unreachability.nkpl,0.018883855
katch,nkpl/benchmarks/small/Uunet_reachability.nkpl,0.039558843
katch,nkpl/benchmarks/small/Uunet_unreachability.nkpl,0.039993882
katch,nkpl/benchmarks/small/ft2_h_reachability.nkpl,0.003547886
katch,nkpl/benchmarks/small/ft2_reachability.nkpl,0.004124752
katch,nkpl/benchmarks/small/ft4_h_reachability.nkpl,0.016465836
katch,nkpl/benchmarks/small/ft4_reachability.nkpl,0.021519138
katch,nkpl/benchmarks/small/ft4_slicing.nkpl,0.028834941
frenetic,nkpl/benchmarks/small/Airtel_reachability.nkpl,0.829926283
frenetic,nkpl/benchmarks/small/Airtel_slicing.nkpl,2.017758858
frenetic,nkpl/benchmarks/small/Airtel_unreachability.nkpl,0.817531903
frenetic,nkpl/benchmarks/small/Arpa_reachability.nkpl,4.248265572
frenetic,nkpl/benchmarks/small/Arpa_slicing.nkpl,10.855701727
frenetic,nkpl/benchmarks/small/Arpa_unreachability.nkpl,4.233894761
frenetic,nkpl/benchmarks/small/Belnet_reachability.nkpl,3.142489308
frenetic,nkpl/benchmarks/small/Belnet_slicing.nkpl,7.926767215
frenetic,nkpl/benchmarks/small/Belnet_unreachability.nkpl,3.157282452
frenetic,nkpl/benchmarks/small/Compuserv_reachability.nkpl,0.354136354
frenetic,nkpl/benchmarks/small/Compuserv_slicing.nkpl,0.821635826
frenetic,nkpl/benchmarks/small/Compuserv_unreachability.nkpl,0.356005334
frenetic,nkpl/benchmarks/small/Layer42_reachability.nkpl,0.041876231
frenetic,nkpl/benchmarks/small/Layer42_slicing.nkpl,0.063166029
frenetic,nkpl/benchmarks/small/Layer42_unreachability.nkpl,0.042605185
frenetic,nkpl/benchmarks/small/Sanet_reachability.nkpl,23.474882482
frenetic,nkpl/benchmarks/small/Sanet_unreachability.nkpl,24.770955258
frenetic,nkpl/benchmarks/small/Shentel_reachability.nkpl,3.954392658
frenetic,nkpl/benchmarks/small/Shentel_slicing.nkpl,9.749778173
frenetic,nkpl/benchmarks/small/Shentel_unreachability.nkpl,3.966034924
frenetic,nkpl/benchmarks/small/Uunet_reachability.nkpl,81.179888168
frenetic,nkpl/benchmarks/small/Uunet_unreachability.nkpl,81.69283203
frenetic,nkpl/benchmarks/small/ft2_h_reachability.nkpl,0.034655947
frenetic,nkpl/benchmarks/small/ft2_reachability.nkpl,0.042159727
frenetic,nkpl/benchmarks/small/ft4_h_reachability.nkpl,2.245994795
frenetic,nkpl/benchmarks/small/ft4_reachability.nkpl,10.30907647
frenetic,nkpl/benchmarks/small/ft4_slicing.nkpl,5.507512443
