system,file,time
katch,nkpl/benchmarks/medium/ft6_h_reachability.nkpl,0.116872732
frenetic,nkpl/benchmarks/medium/Missouri_reachability.nkpl,161.28
frenetic,nkpl/benchmarks/medium/Missouri_unreachability.nkpl,165.85
frenetic,nkpl/benchmarks/medium/Sanet_slicing.nkpl,62.70
frenetic,nkpl/benchmarks/medium/Telcove_reachability.nkpl,464.15
frenetic,nkpl/benchmarks/medium/Telcove_unreachability.nkpl,465.27
frenetic,nkpl/benchmarks/medium/Uunet_slicing.nkpl,204.85
frenetic,nkpl/benchmarks/medium/ft6_h_reachability.nkpl,259.80
katch,nkpl/benchmarks/flip-first15/flip1.nkpl,0.003796083
katch,nkpl/benchmarks/flip-first15/flip10.nkpl,0.011820677
katch,nkpl/benchmarks/flip-first15/flip11.nkpl,0.011733627
katch,nkpl/benchmarks/flip-first15/flip2.nkpl,0.003685158
katch,nkpl/benchmarks/flip-first15/flip3.nkpl,0.003895944
katch,nkpl/benchmarks/flip-first15/flip4.nkpl,0.003843673
katch,nkpl/benchmarks/flip-first15/flip5.nkpl,0.003705487
katch,nkpl/benchmarks/flip-first15/flip6.nkpl,0.005199164
katch,nkpl/benchmarks/flip-first15/flip7.nkpl,0.004191811
katch,nkpl/benchmarks/flip-first15/flip8.nkpl,0.006402704
katch,nkpl/benchmarks/flip-first15/flip9.nkpl,0.005562959
frenetic,nkpl/benchmarks/flip-first15/flip1.nkpl,0.04
frenetic,nkpl/benchmarks/flip-first15/flip10.nkpl,24.95
frenetic,nkpl/benchmarks/flip-first15/flip11.nkpl,86.12
frenetic,nkpl/benchmarks/flip-first15/flip2.nkpl,0.04
frenetic,nkpl/benchmarks/flip-first15/flip3.nkpl,0.03
frenetic,nkpl/benchmarks/flip-first15/flip4.nkpl,0.04
frenetic,nkpl/benchmarks/flip-first15/flip5.nkpl,0.05
frenetic,nkpl/benchmarks/flip-first15/flip6.nkpl,0.14
frenetic,nkpl/benchmarks/flip-first15/flip7.nkpl,0.36
frenetic,nkpl/benchmarks/flip-first15/flip8.nkpl,1.88
frenetic,nkpl/benchmarks/flip-first15/flip9.nkpl,7.01
katch,nkpl/benchmarks/nondet-first15/nondet1-swptdst.nkpl,0.002004803
